,t,max_mut,average_wt_hamming,frac_above_thresh,n_muts_seen,n_muts_sampled
0,3.0,5.0,2.925,0.7,40.0,400.0
1,0.5,11.0,3.52,0.66,50.0,400.0
2,0.001,10.0,2.75,0.6875,64.0,400.0
3,2.0,10.0,4.333333333333333,0.4166666666666667,12.0,400.0
4,0.1,5.0,1.7864077669902914,0.7475728155339806,103.0,400.0
5,1.75,5.0,2.2,0.8,95.0,400.0
6,1.75,10.0,4.4,0.6666666666666666,15.0,400.0
7,1.25,15.0,6.777777777777778,0.3333333333333333,9.0,400.0
8,5.0,5.0,3.0588235294117645,0.47058823529411764,17.0,400.0
9,0.75,10.0,3.6037735849056602,0.6415094339622641,53.0,400.0
10,1.0,17.0,5.714285714285714,0.42857142857142855,7.0,400.0
11,1.0,11.0,4.294117647058823,0.5588235294117647,34.0,400.0
12,1.0,7.0,2.4675324675324677,0.7532467532467533,77.0,400.0
13,0.75,15.0,4.904761904761905,0.5238095238095238,21.0,400.0
14,0.5,9.0,2.732394366197183,0.6619718309859155,71.0,400.0
15,0.75,7.0,2.524390243902439,0.7560975609756098,82.0,400.0
16,0.75,17.0,5.0,0.8,10.0,400.0
17,0.5,7.0,2.182926829268293,0.7317073170731707,82.0,400.0
18,0.75,5.0,1.9448818897637796,0.8188976377952756,127.0,400.0
19,0.1,15.0,3.2857142857142856,0.6,35.0,400.0
20,1.5,5.0,2.2346938775510203,0.7653061224489796,98.0,400.0
21,0.1,10.0,2.672727272727273,0.7454545454545455,55.0,400.0
22,0.5,19.0,6.222222222222222,0.5555555555555556,9.0,400.0
23,10.0,5.0,4.142857142857143,0.2857142857142857,7.0,400.0
24,0.01,15.0,3.3333333333333335,0.6666666666666666,30.0,400.0
25,0.75,9.0,2.9518072289156625,0.7469879518072289,83.0,400.0
26,1.0,15.0,5.875,0.375,8.0,400.0
27,0.5,15.0,4.166666666666667,0.6111111111111112,18.0,400.0
28,1.25,5.0,2.1789473684210527,0.7052631578947368,95.0,400.0
29,0.01,5.0,1.7789473684210526,0.7684210526315789,95.0,400.0
30,4.0,5.0,3.0476190476190474,0.5714285714285714,21.0,400.0
31,0.75,13.0,4.25,0.5714285714285714,28.0,400.0
32,1.0,10.0,3.604651162790698,0.6976744186046512,43.0,400.0
33,0.5,13.0,3.9393939393939394,0.6060606060606061,33.0,400.0
34,0.001,5.0,1.8350515463917525,0.8041237113402062,97.0,400.0
35,0.5,10.0,2.824561403508772,0.7719298245614035,57.0,400.0
36,0.01,10.0,2.9152542372881354,0.6440677966101694,59.0,400.0
37,2.0,5.0,2.2205882352941178,0.7647058823529411,68.0,400.0
38,1.0,13.0,4.863636363636363,0.5,22.0,400.0
39,1.0,9.0,2.877551020408163,0.6938775510204082,49.0,400.0
40,1.5,10.0,4.611111111111111,0.6111111111111112,18.0,400.0
41,0.5,5.0,1.7739130434782608,0.8,115.0,400.0
42,0.75,11.0,3.5853658536585367,0.5853658536585366,41.0,400.0
43,1.25,10.0,3.973684210526316,0.5526315789473685,38.0,400.0
44,0.5,17.0,6.3,0.5,10.0,400.0
45,1.0,5.0,1.978494623655914,0.8387096774193549,93.0,400.0
