,t,max_mut,average_wt_hamming,frac_above_thresh,n_muts_seen,n_muts_sampled
0,0.25,15.0,2.225563909774436,0.9849624060150376,133.0,1600.0
1,1.0,19.0,3.464788732394366,0.704225352112676,71.0,1600.0
2,0.2,15.0,2.361904761904762,0.9904761904761905,105.0,1600.0
3,0.5,15.0,2.3013698630136985,0.9406392694063926,219.0,1600.0
4,0.15,10.0,1.8928571428571428,1.0,28.0,400.0
5,2.25,5.0,2.6639344262295084,0.5573770491803278,122.0,1600.0
6,0.7,10.0,2.0256410256410255,0.8717948717948718,78.0,400.0
7,1.75,10.0,4.25,0.40625,32.0,1600.0
8,1.0,13.0,2.748663101604278,0.8128342245989305,187.0,1600.0
9,0.1,5.0,1.45,0.9,20.0,400.0
10,0.7,13.0,2.326164874551971,0.899641577060932,279.0,1600.0
11,1.5,5.0,1.9506172839506173,0.7325102880658436,243.0,1600.0
12,1.5,11.0,3.69811320754717,0.5660377358490566,53.0,1600.0
13,10.0,5.0,4.151515151515151,0.36363636363636365,33.0,1600.0
14,0.5,5.0,1.4482758620689655,0.9482758620689655,58.0,400.0
15,0.7,19.0,2.8446601941747574,0.9174757281553398,206.0,1600.0
16,0.2,5.0,1.4,0.9,20.0,400.0
17,1.5,13.0,4.157894736842105,0.47368421052631576,19.0,1600.0
18,40.0,5.0,4.12,0.28,25.0,1600.0
19,2.25,10.0,4.947368421052632,0.15789473684210525,19.0,1600.0
20,0.15,5.0,1.5217391304347827,0.9130434782608695,23.0,400.0
21,0.3,10.0,1.9772727272727273,0.9545454545454546,44.0,400.0
22,1.5,15.0,4.555555555555555,0.4444444444444444,9.0,1600.0
23,70.0,5.0,4.379310344827586,0.3103448275862069,29.0,1600.0
24,1.0,11.0,2.3162393162393164,0.8290598290598291,234.0,1600.0
25,1.5,10.0,3.086206896551724,0.5689655172413793,58.0,1600.0
26,0.7,11.0,2.0463576158940397,0.9271523178807947,302.0,1600.0
27,20.0,5.0,4.285714285714286,0.14285714285714285,7.0,400.0
28,2.0,5.0,2.440944881889764,0.5748031496062992,127.0,1600.0
29,0.0001,15.0,2.206896551724138,0.9827586206896551,58.0,1600.0
30,0.25,5.0,1.5161290322580645,0.9032258064516129,31.0,400.0
31,1.0,7.0,1.7694704049844237,0.8722741433021807,321.0,1600.0
32,1.75,5.0,2.217171717171717,0.6464646464646465,198.0,1600.0
33,0.15,15.0,2.1956521739130435,0.967391304347826,92.0,1600.0
34,0.7,5.0,1.5220883534136547,0.9317269076305221,249.0,1600.0
35,1.0,9.0,2.0613026819923372,0.8582375478927203,261.0,1600.0
36,1.0,10.0,2.4727272727272727,0.7818181818181819,55.0,400.0
37,0.1,15.0,2.3466666666666667,0.9733333333333334,75.0,1600.0
38,4.0,5.0,3.540983606557377,0.3770491803278688,61.0,1600.0
39,1.5,7.0,2.5944055944055946,0.6223776223776224,143.0,1600.0
40,0.7,17.0,2.7241379310344827,0.9310344827586207,203.0,1600.0
41,0.1,10.0,1.9565217391304348,1.0,23.0,400.0
42,1.0,17.0,3.4842105263157896,0.7157894736842105,95.0,1600.0
43,1.5,17.0,7.125,0.125,8.0,1600.0
44,0.3,5.0,1.4857142857142858,0.9428571428571428,35.0,400.0
45,2.5,10.0,5.8,0.1,10.0,1600.0
46,0.7,9.0,1.8366666666666667,0.9566666666666667,300.0,1600.0
47,1.0,15.0,3.106194690265487,0.7964601769911505,113.0,1600.0
48,10.0,5.0,3.8,0.4,10.0,400.0
49,0.3,15.0,2.1517241379310343,0.993103448275862,145.0,1600.0
50,2.5,5.0,2.976,0.512,125.0,1600.0
51,0.25,10.0,1.8048780487804879,0.9512195121951219,41.0,400.0
52,20.0,5.0,4.391304347826087,0.2608695652173913,23.0,1600.0
53,100.0,5.0,4.2592592592592595,0.18518518518518517,27.0,1600.0
54,1.5,9.0,3.090909090909091,0.5681818181818182,88.0,1600.0
55,1.0,10.0,2.2913385826771653,0.8543307086614174,254.0,1600.0
56,0.7,5.0,1.574468085106383,0.9042553191489362,94.0,400.0
57,4.0,5.0,3.6666666666666665,0.4444444444444444,9.0,400.0
58,1000.0,5.0,4.285714285714286,0.0,7.0,400.0
59,0.7,10.0,1.9828178694158076,0.9347079037800687,291.0,1600.0
60,1.75,15.0,4.875,0.5,8.0,1600.0
61,0.0001,10.0,2.0,1.0,18.0,400.0
62,2.0,10.0,4.466666666666667,0.2,15.0,1600.0
63,0.7,7.0,1.6705426356589148,0.9651162790697675,258.0,1600.0
64,0.0001,5.0,1.411764705882353,0.8823529411764706,17.0,400.0
65,0.2,10.0,2.064516129032258,0.967741935483871,31.0,400.0
66,3.0,5.0,3.05,0.45,20.0,400.0
67,0.5,10.0,2.108108108108108,0.9324324324324325,74.0,400.0
68,0.7,15.0,2.5517241379310347,0.8922413793103449,232.0,1600.0
69,1.0,5.0,1.6666666666666667,0.8602150537634409,93.0,400.0
70,2.0,5.0,2.871794871794872,0.5641025641025641,39.0,400.0
71,3.0,5.0,3.015873015873016,0.4603174603174603,63.0,1600.0
72,5.0,5.0,3.5952380952380953,0.3333333333333333,42.0,1600.0
73,1.0,5.0,1.585139318885449,0.9040247678018576,323.0,1600.0
